Frequency,S12_Magnitude,
1000000,-3.32273148,
1599959,-3.318963295,
2199919,-3.444297013,
2799879,-2.97676498,
3399839,-2.927772754,
3999799,-2.955098715,
4599759,-3.000370102,
5199719,-3.021418669,
5799679,-3.07545592,
6399639,-3.196635272,
6999599,-3.219698204,
7599559,-3.460621304,
8199519,-3.577395345,
8799479,-3.610963171,
9399439,-3.762415157,
9999399,-4.012431359,
10599359,-4.174615933,
11199319,-4.290116195,
11799279,-4.407443404,
12399239,-4.578109497,
12999199,-4.768421737,
13599159,-4.872916967,
14199119,-5.135126185,
14799079,-5.334435987,
15399039,-5.483304664,
15998999,-5.722972365,
16598959,-5.887423916,
17198919,-6.221767751,
17798879,-6.364489445,
18398839,-6.522429166,
18998799,-6.664071706,
19598759,-6.967181922,
20198719,-7.067371315,
20798679,-7.448667201,
21398639,-7.774379031,
21998599,-7.863973697,
22598559,-8.167161768,
23198519,-8.421340551,
23798479,-8.483802133,
24398439,-8.848044804,
24998399,-9.369098374,
25598359,-9.276707617,
26198319,-9.859439034,
26798279,-10.03208963,
27398239,-10.26237321,
27998199,-10.55694581,
28598159,-10.99497498,
29198119,-10.96480965,
29798079,-11.27791204,
30398039,-11.87376544,
30997999,-12.06436084,
31597959,-12.40362953,
32197919,-12.57750684,
32797879,-13.11109211,
33397839,-13.33308652,
33997799,-13.63546149,
34597759,-14.25330817,
35197719,-14.46354786,
35797679,-15.03544777,
36397639,-15.40996374,
36997599,-15.74076411,
37597559,-16.23627793,
38197519,-16.96982321,
38797479,-17.63506992,
39397439,-18.0999086,
39997399,-18.71939197,
40597359,-19.6820398,
41197319,-19.3983069,
41797279,-21.36934596,
42397239,-22.28525824,
42997199,-22.77318726,
43597159,-24.0128469,
44197119,-24.91675915,
44797079,-25.90895183,
45397039,-26.54448547,
45996999,-32.38242731,
46596959,-38.82312913,
47196919,-38.13494342,
47796879,-46.64059794,
48396839,-42.79784039,
48996799,-41.61613747,
49596759,-40.08694123,
50196719,-30.01911471,
50796679,-25.92139954,
51396639,-25.5264831,
51996599,-24.32704203,
52596559,-23.46372463,
53196519,-22.69305682,
53796479,-22.33077268,
54396439,-20.36649545,
54996399,-18.93346035,
55596359,-19.23798858,
56196319,-18.29419881,
56796279,-17.56940784,
57396239,-17.40428052,
57996199,-16.68114937,
58596159,-15.8161855,
59196119,-15.34986251,
59796079,-15.00895217,
60396039,-14.70879059,
60995999,-14.59789206,
61595959,-14.12959355,
62195919,-13.8970867,
62795879,-13.0595385,
63395839,-12.72557174,
63995799,-12.79547912,
64595759,-12.4667523,
65195719,-11.94523594,
65795679,-11.73722975,
66395639,-11.66504937,
