Frequency,S12_Magnitude,
1000000,-3.322148191,
1599959,-3.23348295,
2199919,-3.322926882,
2799879,-3.030115372,
3399839,-2.957840928,
3999799,-2.912321616,
4599759,-2.900407694,
5199719,-3.019012457,
5799679,-3.017777689,
6399639,-3.104189349,
6999599,-3.346948844,
7599559,-3.430771427,
8199519,-3.532745704,
8799479,-3.579913837,
9399439,-3.80087078,
9999399,-4.037879431,
10599359,-4.108727194,
11199319,-4.219747591,
11799279,-4.403129028,
12399239,-4.642799922,
12999199,-4.744532836,
13599159,-4.954826908,
14199119,-4.979209606,
14799079,-5.494541394,
15399039,-5.552810332,
15998999,-5.759651466,
16598959,-5.949973065,
17198919,-6.089745244,
17798879,-6.419820695,
18398839,-6.669642082,
18998799,-6.809526609,
19598759,-7.017203106,
20198719,-7.229615444,
20798679,-7.322328175,
21398639,-7.624984966,
21998599,-8.002244733,
22598559,-8.10811376,
23198519,-8.417526616,
23798479,-8.548792115,
24398439,-8.942618858,
24998399,-9.149154416,
25598359,-9.253356706,
26198319,-9.679267184,
26798279,-9.892561427,
27398239,-10.28891199,
27998199,-10.50017186,
28598159,-10.73324739,
29198119,-10.88282296,
29798079,-11.31687996,
30398039,-11.74435526,
30997999,-11.97479246,
31597959,-12.32542885,
32197919,-12.60574622,
32797879,-12.93443478,
33397839,-13.17136896,
33997799,-13.54791104,
34597759,-14.18200453,
35197719,-14.63502675,
35797679,-14.77545848,
36397639,-15.15971499,
36997599,-15.74866446,
37597559,-16.12157775,
38197519,-16.84307718,
38797479,-17.47516567,
39397439,-17.96473718,
39997399,-18.71925216,
40597359,-19.16596499,
41197319,-19.58562234,
41797279,-20.82190883,
42397239,-22.85778327,
42997199,-22.52184867,
43597159,-23.9313961,
44197119,-24.48497384,
44797079,-25.74543123,
45397039,-27.04051615,
45996999,-29.48022036,
46596959,-36.52870512,
47196919,-38.6224274,
47796879,-43.66063295,
48396839,-44.80352799,
48996799,-38.49224838,
49596759,-37.09868878,
50196719,-31.90398394,
50796679,-26.77842667,
51396639,-25.55443295,
51996599,-24.88958671,
52596559,-23.44122602,
53196519,-22.61659093,
53796479,-22.01484608,
54396439,-21.17448891,
54996399,-19.58894637,
55596359,-18.65936143,
56196319,-18.38843518,
56796279,-17.86139945,
57396239,-17.09756039,
57996199,-16.84995363,
58596159,-16.29966438,
59196119,-15.65930208,
59796079,-15.20837731,
60396039,-14.78123556,
60995999,-14.36176424,
61595959,-14.19188707,
62195919,-13.85586604,
62795879,-13.3716592,
63395839,-12.94177518,
63995799,-12.78351499,
64595759,-12.33772391,
65195719,-12.07050623,
65795679,-12.03995708,
66395639,-11.69928123,
66995599,-11.31212585,
67595559,-11.08011457,
68195519,-10.88950542,
68795479,-10.60172035,
69395439,-10.43341954,
69995399,-10.10418015,
70595359,-9.856477781,
71195319,-9.757666553,
71795279,-9.408233223,
72395239,-9.266280882,
72995199,-9.101909475,
73595159,-8.870700905,
74195119,-8.735704295,
74795079,-8.504461703,
75395039,-8.473911764,
75994999,-8.315254485,
76594959,-8.101896986,
77194919,-7.979982348,
77794879,-7.812962795,
78394839,-7.710580339,
78994799,-7.582202792,
79594759,-7.447789463,
80194719,-7.291082611,
80794679,-7.127806051,
