Frequency,S12_Magnitude,
1000000,-3.466942175,
1599959,-3.376169868,
2199919,-3.300900113,
2799879,-3.094304975,
3399839,-3.013687732,
3999799,-3.044718032,
4599759,-2.903278459,
5199719,-2.918556647,
5799679,-2.991907112,
6399639,-3.219495648,
6999599,-3.170476758,
7599559,-3.377457773,
8199519,-3.541161268,
8799479,-3.671768902,
9399439,-3.778453579,
9999399,-3.920775613,
10599359,-4.118064918,
11199319,-4.240977149,
11799279,-4.446821252,
12399239,-4.561961816,
12999199,-4.731915207,
13599159,-4.975467786,
14199119,-5.180382561,
14799079,-5.432514228,
15399039,-5.521904038,
15998999,-5.68380097,
16598959,-5.854845007,
17198919,-6.225771819,
17798879,-6.390772776,
18398839,-6.5140159,
18998799,-6.774562928,
19598759,-6.91393291,
20198719,-7.317022356,
20798679,-7.476088171,
21398639,-7.769345265,
21998599,-8.093553007,
22598559,-8.022141243,
23198519,-8.396615637,
23798479,-8.621246382,
24398439,-8.944490776,
24998399,-9.098077069,
25598359,-9.37396169,
26198319,-9.618996098,
26798279,-10.09207823,
27398239,-10.1693596,
27998199,-10.33728082,
28598159,-10.81154848,
29198119,-10.97190586,
29798079,-11.29960495,
30398039,-11.85105739,
30997999,-12.02682814,
31597959,-12.28085206,
32197919,-12.49936833,
32797879,-12.94141067,
33397839,-13.25611894,
33997799,-13.98241178,
34597759,-14.24060931,
35197719,-14.5230234,
35797679,-14.95765134,
36397639,-15.38706926,
36997599,-15.88418871,
37597559,-16.37782973,
38197519,-17.30183147,
38797479,-17.75614316,
39397439,-18.07200293,
39997399,-18.46669166,
40597359,-19.10647214,
41197319,-20.09487432,
41797279,-21.14128823,
42397239,-22.77145267,
42997199,-22.74358767,
43597159,-23.98596465,
44197119,-24.60392589,
44797079,-25.93270433,
45397039,-27.86420284,
45996999,-30.60473863,
46596959,-39.15106978,
47196919,-38.16462089,
47796879,-46.71854837,
48396839,-42.74199857,
48996799,-37.87764405,
49596759,-37.83091687,
50196719,-29.20638327,
50796679,-26.1879622,
51396639,-25.53224986,
51996599,-24.6038591,
52596559,-23.43993007,
53196519,-22.58295619,
53796479,-22.01986504,
54396439,-20.34338332,
54996399,-19.38375445,
55596359,-18.33560845,
56196319,-18.26132797,
56796279,-17.42992788,
57396239,-17.00471324,
57996199,-16.77550112,
58596159,-15.6892632,
59196119,-15.47366703,
59796079,-15.11355263,
60396039,-14.51295417,
60995999,-14.47968866,
61595959,-13.8989503,
62195919,-13.78013909,
62795879,-13.29603668,
63395839,-12.98584686,
63995799,-12.48303351,
64595759,-12.30536456,
65195719,-11.93869866,
65795679,-11.76998768,
66395639,-11.50245321,
66995599,-10.89075047,
67595559,-10.79517686,
68195519,-10.58137336,
68795479,-10.52958726,
69395439,-10.19576211,
69995399,-9.934880026,
70595359,-9.609382956,
71195319,-9.48588038,
71795279,-9.413232174,
72395239,-9.121497379,
72995199,-9.043272129,
73595159,-8.769050154,
74195119,-8.72165557,
74795079,-8.568345185,
75395039,-8.289244708,
75994999,-8.21191963,
76594959,-8.025222166,
77194919,-7.903632023,
77794879,-7.640445962,
78394839,-7.570613406,
78994799,-7.40937541,
79594759,-7.343893708,
80194719,-7.219681963,
80794679,-7.087146292,
81394639,-7.050063922,
81994599,-6.906932787,
82594559,-6.733145942,
83194519,-6.704183846,
83794479,-6.504247189,
84394439,-6.526433126,
84994399,-6.361749607,
85594359,-6.253275362,
86194319,-6.215442155,
86794279,-6.08251735,
87394239,-6.11495516,
87994199,-6.004124822,
88594159,-6.012552539,
89194119,-5.864203435,
89794079,-5.79002269,
90394039,-5.694542054,
90993999,-5.549133674,
91593959,-5.548784643,
92193919,-5.481671623,
92793879,-5.487746827,
93393839,-5.442287694,
93993799,-5.282941552,
94593759,-5.202192216,
95193719,-5.25476816,
95793679,-5.167978903,
96393639,-5.124378618,
96993599,-5.055297273,
97593559,-5.042933531,
98193519,-5.064816238,
98793479,-4.972657211,
99393439,-5.072736045,
99993399,-4.928360239,
100593359,-4.848559946,
101193319,-4.766972115,
101793279,-4.872598697,
102393239,-4.807392534,
102993199,-4.679032218,
103593159,-4.746831628,
104193119,-4.754235056,
104793079,-4.624660176,
105393039,-4.637495849,
105992999,-4.665436821,
106592959,-4.584725136,
107192919,-4.493834084,
107792879,-4.51684663,
108392839,-4.517974669,
108992799,-4.479044891,
109592759,-4.533946254,
110192719,-4.450250458,
110792679,-4.395530194,
111392639,-4.501978574,
111992599,-4.44095144,
112592559,-4.381819917,
113192519,-4.400328166,
113792479,-4.343481471,
114392439,-4.37527193,
114992399,-4.307702489,
115592359,-4.367430964,
116192319,-4.315455242,
116792279,-4.325750186,
117392239,-4.26384061,
117992199,-4.344191793,
118592159,-4.268973165,
119192119,-4.277088216,
119792079,-4.294583204,
120392039,-4.156737095,
120991999,-4.251375544,
121591959,-4.217225865,
122191919,-4.187728253,
122791879,-4.225831978,
123391839,-4.151144364,
123991799,-4.182096607,
124591759,-4.210170688,
125191719,-4.232349483,
125791679,-4.179527826,
126391639,-4.187811959,
126991599,-4.207197245,
127591559,-4.197543114,
128191519,-4.180739524,
128791479,-4.219875693,
129391439,-4.146899701,
129991399,-4.185478301,
130591359,-4.227337429,
131191319,-4.240717281,
131791279,-4.178272514,
132391239,-4.205928386,
132991199,-4.155439006,
133591159,-4.092556408,
134191119,-4.15820527,
134791079,-4.260216666,
135391039,-4.10590864,
135990999,-4.17387454,
136590959,-4.10167347,
137190919,-4.213692954,
137790879,-4.181196614,
138390839,-4.159548554,
138990799,-4.222967198,
139590759,-4.145653484,
140190719,-4.183212145,
140790679,-4.167600896,
141390639,-4.239397696,
141990599,-4.127687769,
142590559,-4.190047648,
143190519,-4.057336656,
143790479,-4.157731451,
144390438,-4.168518671,
144990398,-4.097728452,
145590358,-4.126205274,
146190318,-4.144744196,
146790278,-4.090831815,
147390238,-3.979016441,
147990198,-4.136996487,
148590158,-4.088155531,
149190118,-4.157585979,
149790078,-4.054913166,
150390038,-4.185164802,
150989998,-4.172435054,
151589958,-4.140023646,
152189918,-4.194983951,
152789878,-4.189723816,
153389838,-4.120014516,
153989798,-4.046919349,
154589758,-4.182961656,
155189718,-4.128614131,
155789678,-4.078958493,
156389638,-4.144287128,
156989598,-4.126509295,
157589558,-4.117518684,
158189518,-4.227454206,
158789478,-4.095825171,
159389438,-4.167252955,
159989398,-4.183580668,
160589358,-4.171102817,
161189318,-4.096671029,
161789278,-4.125841104,
162389238,-4.225384114,
162989198,-4.232128192,
163589158,-4.153740531,
164189118,-4.122725053,
164789078,-4.052007717,
165389038,-4.168787028,
165988998,-4.20147359,
166588958,-4.126657019,
167188918,-4.080077134,
167788878,-4.171557056,
168388838,-4.104655813,
168988798,-4.151578284,
169588758,-4.230350697,
170188718,-4.130679218,
170788678,-4.141585911,
171388638,-4.019192864,
171988598,-4.167031179,
172588558,-4.079587308,
173188518,-4.110046906,
173788478,-4.119101891,
174388438,-4.1349649,
174988398,-4.093721615,
175588358,-4.189276394,
176188318,-4.227131153,
176788278,-3.983888028,
177388238,-4.093299885,
177988198,-4.123530828,
178588158,-4.081511298,
179188118,-4.098862388,
179788078,-4.184736819,
180388038,-4.099895734,
180987998,-4.090490354,
181587958,-4.046354404,
182187918,-4.100611703,
182787878,-4.07505882,
183387838,-4.101883405,
183987798,-4.100457186,
184587758,-4.099962396,
185187718,-4.080748404,
185787678,-4.134548814,
186387638,-4.17269603,
186987598,-4.093060527,
187587558,-3.957033563,
188187518,-3.952895105,
188787478,-4.061953406,
189387438,-4.01734455,
189987398,-4.05434686,
190587358,-3.915346965,
191187318,-3.911890895,
191787278,-3.92377386,
192387238,-3.929738348,
192987198,-3.996570828,
193587158,-3.92277164,
194187118,-3.995250847,
194787078,-3.973458957,
195387038,-4.059524245,
195986998,-4.053472098,
196586958,-4.01676475,
197186918,-3.978207321,
197786878,-3.878648202,
198386838,-3.86058648,
198986798,-3.89374779,
199586758,-3.84097977,
200186718,-3.911361318,
200786678,-3.946724488,
201386638,-3.957329979,
201986598,-3.906551426,
202586558,-3.855837852,
203186518,-3.912090257,
203786478,-3.823263556,
204386438,-3.844394418,
204986398,-3.923413846,
205586358,-3.907848391,
206186318,-3.916377182,
206786278,-3.856178122,
207386238,-3.882227782,
207986198,-3.862727555,
208586158,-3.889377174,
209186118,-3.856448235,
209786078,-3.78277322,
210386038,-3.776038476,
210985998,-3.835129845,
211585958,-3.806409301,
212185918,-3.769652016,
212785878,-3.776410423,
213385838,-3.755869842,
213985798,-3.780560205,
214585758,-3.781587167,
215185718,-3.768406854,
215785678,-3.795934734,
216385638,-3.778447004,
216985598,-3.717209125,
217585558,-3.764597028,
218185518,-3.844475769,
218785478,-3.784262493,
219385438,-3.735888346,
219985398,-3.827341468,
220585358,-3.725681861,
221185318,-3.825432701,
221785278,-3.738968883,
222385238,-3.759025864,
222985198,-3.77053091,
223585158,-3.718800593,
224185118,-3.703009826,
224785078,-3.675727261,
225385038,-3.614323281,
225984998,-3.621394751,
226584958,-3.724064571,
227184918,-3.689731751,
227784878,-3.655648245,
228384838,-3.589584553,
228984798,-3.509376622,
229584758,-3.520773044,
230184718,-3.54481361,
230784678,-3.484562584,
231384638,-3.493496887,
231984598,-3.557200557,
232584558,-3.49416559,
233184518,-3.427503316,
233784478,-3.507990047,
234384438,-3.453180916,
234984398,-3.475698585,
235584358,-3.416986948,
236184318,-3.420503694,
236784278,-3.444713941,
237384238,-3.322274446,
237984198,-3.415358172,
238584158,-3.389407636,
239184118,-3.415647264,
239784078,-3.390477693,
240384038,-3.358595669,
240983998,-3.324150878,
241583958,-3.33383278,
242183918,-3.412144014,
242783878,-3.382824763,
243383838,-3.292143985,
243983798,-3.333622418,
244583758,-3.415242405,
245183718,-3.373147264,
245783678,-3.311737356,
246383638,-3.252584232,
246983598,-3.292184255,
247583558,-3.305728124,
248183518,-3.255018152,
248783478,-3.209674413,
249383438,-3.220080248,
249983398,-3.357975601,
250583358,-3.267698712,
251183318,-3.279104108,
251783278,-3.278532784,
252383238,-3.321365744,
252983198,-3.369588668,
253583158,-3.28054266,
254183118,-3.287159734,
254783078,-3.372017717,
255383038,-3.327633335,
255982998,-3.28075418,
256582958,-3.287553613,
257182918,-3.33643468,
257782878,-3.238926498,
258382838,-3.318148143,
258982798,-3.346507173,
259582758,-3.356237034,
260182718,-3.309984016,
260782678,-3.29813061,
261382638,-3.33640734,
261982598,-3.283040803,
262582558,-3.348997091,
263182518,-3.302840933,
263782478,-3.263300988,
264382438,-3.323955023,
264982398,-3.291180736,
265582358,-3.259512541,
266182318,-3.301284142,
266782278,-3.269714739,
267382238,-3.298458515,
267982198,-3.26064612,
268582158,-3.292112864,
269182118,-3.420039722,
269782078,-3.293061584,
270382038,-3.311288916,
270981998,-3.28872214,
271581958,-3.257386514,
272181918,-3.351044782,
272781878,-3.335614694,
273381838,-3.340457523,
273981798,-3.320715035,
274581758,-3.299733057,
275181718,-3.3281314,
275781678,-3.390405215,
276381638,-3.300622554,
276981598,-3.410096096,
277581558,-3.354165284,
278181518,-3.428609548,
278781478,-3.31926673,
279381438,-3.410250463,
279981398,-3.43177211,
280581358,-3.368057245,
281181318,-3.322445756,
281781278,-3.398917038,
282381238,-3.43136138,
282981198,-3.278880354,
283581158,-3.423638943,
284181118,-3.373944598,
284781078,-3.421201911,
285381038,-3.474404364,
285980998,-3.472702747,
286580958,-3.371553535,
287180917,-3.408713044,
287780877,-3.380308612,
288380837,-3.527146266,
288980797,-3.430294413,
289580757,-3.443394838,
290180717,-3.465619354,
290780677,-3.458683894,
291380637,-3.537376226,
291980597,-3.433290526,
292580557,-3.520900024,
293180517,-3.52264764,
293780477,-3.4462985,
294380437,-3.491255041,
294980397,-3.542092752,
295580357,-3.477722262,
296180317,-3.532460482,
296780277,-3.603708201,
297380237,-3.551918836,
297980197,-3.499430418,
298580157,-3.596843702,
299180117,-3.4948545,
299780077,-3.607315534,
300380037,-3.509279982,
300979997,-3.536925316,
301579957,-3.579751856,
302179917,-3.565059438,
302779877,-3.604590341,
303379837,-3.61721775,
303979797,-3.742970418,
304579757,-3.623996597,
305179717,-3.637103196,
305779677,-3.613370632,
306379637,-3.579761847,
306979597,-3.610784875,
307579557,-3.607631804,
308179517,-3.695432225,
308779477,-3.67029398,
309379437,-3.694121633,
309979397,-3.570838175,
310579357,-3.596787226,
311179317,-3.729813224,
311779277,-3.798019904,
312379237,-3.655078769,
312979197,-3.762888301,
313579157,-3.697485449,
314179117,-3.754431617,
314779077,-3.680031741,
315379037,-3.775904262,
315978997,-3.748649572,
316578957,-3.72011063,
317178917,-3.72241105,
317778877,-3.832425192,
318378837,-3.807635853,
318978797,-3.842763845,
319578757,-3.81741914,
320178717,-3.74060485,
320778677,-3.795105162,
321378637,-3.77668477,
321978597,-3.782143548,
322578557,-3.929406662,
323178517,-3.81643936,
323778477,-3.809362556,
324378437,-3.795829912,
324978397,-3.920638582,
325578357,-3.855189924,
326178317,-3.816061437,
326778277,-3.816153264,
327378237,-3.803810968,
327978197,-3.786859631,
328578157,-3.851435683,
329178117,-3.829786709,
329778077,-3.823798965,
330378037,-3.825328773,
330977997,-3.776572997,
331577957,-3.871083387,
332177917,-3.894507195,
332777877,-3.722837806,
333377837,-3.800693221,
333977797,-3.917825736,
334577757,-3.780348068,
335177717,-3.7744584,
