Frequency,S12_Magnitude,
1000000,-3.376141359,
1599959,-3.169383963,
2199919,-2.994464133,
2799879,-2.76130932,
3399839,-2.652422491,
3999799,-2.507529011,
4599759,-2.459221117,
5199719,-2.405901953,
5799679,-2.280577056,
6399639,-2.312700836,
6999599,-2.308029628,
7599559,-2.322307215,
8199519,-2.284907399,
8799479,-2.292035296,
9399439,-2.292886944,
9999399,-2.334870343,
10599359,-2.321219392,
11199319,-2.341035938,
11799279,-2.360292243,
12399239,-2.372157131,
12999199,-2.367616644,
13599159,-2.373241695,
14199119,-2.412056152,
14799079,-2.433867955,
15399039,-2.44261788,
15998999,-2.458615248,
16598959,-2.475607181,
17198919,-2.480484449,
17798879,-2.50236803,
18398839,-2.538012161,
18998799,-2.536179356,
19598759,-2.56637853,
20198719,-2.572312835,
20798679,-2.592325679,
21398639,-2.589436531,
21998599,-2.586194845,
22598559,-2.610423905,
23198519,-2.645067383,
23798479,-2.641519144,
24398439,-2.630602932,
24998399,-2.661971686,
25598359,-2.630324492,
26198319,-2.690657206,
26798279,-2.660477026,
27398239,-2.686453401,
27998199,-2.686453825,
28598159,-2.723455804,
29198119,-2.71706655,
29798079,-2.720052103,
30398039,-2.743494342,
30997999,-2.765629147,
31597959,-2.764130719,
32197919,-2.770906543,
32797879,-2.813726073,
33397839,-2.796782813,
33997799,-2.793366001,
34597759,-2.813567103,
35197719,-2.836619234,
35797679,-2.810873922,
36397639,-2.852087855,
36997599,-2.843954193,
37597559,-2.841916072,
38197519,-2.82817089,
38797479,-2.864777165,
39397439,-2.868823993,
39997399,-2.846432874,
40597359,-2.863248079,
41197319,-2.857887073,
41797279,-2.865649571,
42397239,-2.882511318,
42997199,-2.88700133,
43597159,-2.910602779,
44197119,-2.902206702,
44797079,-2.915255268,
45397039,-2.916121762,
45996999,-2.922847771,
46596959,-2.928430789,
47196919,-2.918311733,
47796879,-2.944850033,
48396839,-2.942539223,
48996799,-2.960529876,
49596759,-2.980127089,
50196719,-2.962421662,
50796679,-2.96983578,
51396639,-2.97024246,
51996599,-2.976284261,
52596559,-2.979531554,
53196519,-2.984643352,
53796479,-2.998602036,
54396439,-3.002085317,
54996399,-3.003688555,
55596359,-2.98568921,
56196319,-2.998770976,
56796279,-2.982194055,
57396239,-3.013949417,
57996199,-3.002614308,
58596159,-3.020432499,
59196119,-3.0382963,
59796079,-3.005446181,
60396039,-3.019498073,
60995999,-3.01373336,
61595959,-3.043411896,
62195919,-3.043839098,
62795879,-3.044456101,
63395839,-3.063668595,
63995799,-3.038917373,
64595759,-3.044199555,
65195719,-3.049540139,
65795679,-3.040333718,
66395639,-3.05828881,
66995599,-3.032372368,
67595559,-3.039679444,
68195519,-3.035077821,
68795479,-3.046810588,
69395439,-3.048260243,
69995399,-3.03845897,
