Frequency,S12_Magnitude,
1000000,-3.406394824,
1599959,-3.210023019,
2199919,-3.017584621,
2799879,-2.847083716,
3399839,-2.704648411,
3999799,-2.574089818,
4599759,-2.535114925,
5199719,-2.498598218,
5799679,-2.449644267,
6399639,-2.470951497,
6999599,-2.427039163,
7599559,-2.452899367,
8199519,-2.448961652,
8799479,-2.417903252,
9399439,-2.51762174,
9999399,-2.547716242,
10599359,-2.596592794,
11199319,-2.645115854,
11799279,-2.628797503,
12399239,-2.700813108,
12999199,-2.716336946,
13599159,-2.789659213,
14199119,-2.804416295,
14799079,-2.799507733,
15399039,-2.880438535,
15998999,-2.893570778,
16598959,-2.919943192,
17198919,-2.95361085,
17798879,-3.006595172,
18398839,-3.012180402,
18998799,-3.064758035,
19598759,-3.090698694,
20198719,-3.102903152,
20798679,-3.130039839,
21398639,-3.168841441,
21998599,-3.192176999,
22598559,-3.184721056,
23198519,-3.241737708,
23798479,-3.234130928,
24398439,-3.301652941,
24998399,-3.323379493,
25598359,-3.310796227,
26198319,-3.301938488,
26798279,-3.35589175,
27398239,-3.344659545,
27998199,-3.417845475,
28598159,-3.452989176,
29198119,-3.462557145,
29798079,-3.479034906,
30398039,-3.502676837,
30997999,-3.540950757,
31597959,-3.551996866,
32197919,-3.586943292,
32797879,-3.560468463,
33397839,-3.595192585,
33997799,-3.610753151,
34597759,-3.638561591,
35197719,-3.664500169,
35797679,-3.697370876,
36397639,-3.668796964,
36997599,-3.691567165,
37597559,-3.698361707,
38197519,-3.759135928,
38797479,-3.739505625,
39397439,-3.736564478,
39997399,-3.747408245,
40597359,-3.751378322,
41197319,-3.74908845,
41797279,-3.785034321,
42397239,-3.805322168,
42997199,-3.83115042,
43597159,-3.82953999,
44197119,-3.827821917,
44797079,-3.852852986,
45397039,-3.834624139,
45996999,-3.836093369,
46596959,-3.818153643,
47196919,-3.870112134,
47796879,-3.869707056,
48396839,-3.880455332,
48996799,-3.882530896,
49596759,-3.924555268,
50196719,-3.906391181,
50796679,-3.87952838,
51396639,-3.925733288,
51996599,-3.930266042,
52596559,-3.902025259,
53196519,-3.926445343,
53796479,-3.931360038,
54396439,-3.921342307,
54996399,-3.933847836,
55596359,-3.965311156,
56196319,-3.957075719,
56796279,-3.920531324,
57396239,-3.952633945,
57996199,-3.943776525,
58596159,-3.938287631,
59196119,-3.939414831,
59796079,-3.940844586,
60396039,-3.93739986,
60995999,-3.929958957,
61595959,-3.951756656,
62195919,-3.938302688,
62795879,-3.934149844,
63395839,-3.962516652,
63995799,-3.935295585,
64595759,-3.92195161,
65195719,-3.897799277,
65795679,-3.888985447,
66395639,-3.884537788,
66995599,-3.897371177,
67595559,-3.907493472,
68195519,-3.88881133,
68795479,-3.889702502,
69395439,-3.867523711,
69995399,-3.871038822,
70595359,-3.840502058,
71195319,-3.832988426,
71795279,-3.876198426,
72395239,-3.794125632,
72995199,-3.809614849,
73595159,-3.845440577,
74195119,-3.791397209,
74795079,-3.801527969,
75395039,-3.770510272,
75994999,-3.792887517,
76594959,-3.749101972,
77194919,-3.729069357,
77794879,-3.725811796,
78394839,-3.706121646,
78994799,-3.714345902,
79594759,-3.689519729,
80194719,-3.684625561,
80794679,-3.676427363,
81394639,-3.653651663,
81994599,-3.646573013,
82594559,-3.629165625,
83194519,-3.598635218,
83794479,-3.617948745,
84394439,-3.614241437,
84994399,-3.579772176,
85594359,-3.578841452,
86194319,-3.54813836,
86794279,-3.522812968,
87394239,-3.51815901,
87994199,-3.497061609,
88594159,-3.508848514,
89194119,-3.515783556,
89794079,-3.511986178,
90394039,-3.439248975,
90993999,-3.455139931,
91593959,-3.453998979,
92193919,-3.44164261,
92793879,-3.422082146,
93393839,-3.417484551,
93993799,-3.417101947,
94593759,-3.356275,
95193719,-3.371645929,
95793679,-3.383039023,
96393639,-3.377507624,
96993599,-3.355242611,
97593559,-3.329124319,
98193519,-3.34955073,
98793479,-3.310053512,
99393439,-3.328724679,
99993399,-3.299357296,
100593359,-3.303049554,
101193319,-3.317248722,
101793279,-3.278420167,
102393239,-3.243842187,
102993199,-3.262756018,
103593159,-3.253052282,
104193119,-3.245337544,
104793079,-3.261613352,
105393039,-3.220473985,
105992999,-3.2167833,
106592959,-3.212938379,
107192919,-3.210656146,
107792879,-3.219277705,
108392839,-3.201075509,
108992799,-3.195569021,
109592759,-3.193946413,
110192719,-3.167358019,
110792679,-3.145313503,
111392639,-3.186711197,
111992599,-3.165289897,
112592559,-3.150040647,
113192519,-3.13484159,
113792479,-3.120665041,
114392439,-3.118592771,
114992399,-3.147192793,
115592359,-3.11087758,
116192319,-3.107653966,
116792279,-3.109582294,
117392239,-3.092677414,
117992199,-3.090439342,
118592159,-3.095747542,
119192119,-3.068836353,
119792079,-3.071295791,
120392039,-3.073370445,
120991999,-3.045155247,
121591959,-3.05788715,
122191919,-3.061220628,
122791879,-3.095022201,
123391839,-3.080482264,
123991799,-3.051203687,
124591759,-3.06482422,
125191719,-3.034864668,
125791679,-3.042198616,
126391639,-3.049118018,
126991599,-3.018122724,
127591559,-3.045061462,
128191519,-3.033642769,
128791479,-3.009589557,
129391439,-3.032936632,
129991399,-3.026154279,
130591359,-3.000339252,
131191319,-3.054117578,
131791279,-3.004803434,
132391239,-2.991416003,
132991199,-3.030437105,
133591159,-2.978161456,
134191119,-3.02290555,
134791079,-3.007438171,
135391039,-2.968965499,
135990999,-2.982710097,
136590959,-3.032066796,
137190919,-3.004591882,
137790879,-2.999237434,
138390839,-3.000397158,
138990799,-2.985471925,
139590759,-3.02466052,
140190719,-3.014677125,
140790679,-2.998092493,
141390639,-3.061520443,
141990599,-2.991866111,
142590559,-3.013023059,
143190519,-2.998566916,
143790479,-2.996473442,
144390438,-2.949642871,
144990398,-2.988708585,
