Frequency,S12_Magnitude,
1000000,-3.302639459,
1599959,-3.111429566,
2199919,-2.92131509,
2799879,-2.742123293,
3399839,-2.595014439,
3999799,-2.475001477,
4599759,-2.379102572,
5199719,-2.312541262,
5799679,-2.262866915,
6399639,-2.234961927,
6999599,-2.213198144,
7599559,-2.205488724,
8199519,-2.202285363,
8799479,-2.209005896,
9399439,-2.21310727,
9999399,-2.224135386,
10599359,-2.238930958,
11199319,-2.258106554,
11799279,-2.266990053,
12399239,-2.282347711,
12999199,-2.294521535,
13599159,-2.311079869,
14199119,-2.322559374,
14799079,-2.338165555,
15399039,-2.354531965,
15998999,-2.372417699,
16598959,-2.385427755,
17198919,-2.400989471,
17798879,-2.415996655,
18398839,-2.432574567,
18998799,-2.443066841,
19598759,-2.455955515,
20198719,-2.470658246,
20798679,-2.486193083,
21398639,-2.492375349,
21998599,-2.50492097,
22598559,-2.51486189,
23198519,-2.528380986,
23798479,-2.536805794,
24398439,-2.547237697,
24998399,-2.558007438,
25598359,-2.549701643,
26198319,-2.561976578,
26798279,-2.574858693,
27398239,-2.586900095,
27998199,-2.599218961,
28598159,-2.609682966,
29198119,-2.6209656,
29798079,-2.629991092,
30398039,-2.650780784,
30997999,-2.664013729,
31597959,-2.668752959,
32197919,-2.677579198,
32797879,-2.68558784,
33397839,-2.695118429,
33997799,-2.703466434,
34597759,-2.712982516,
35197719,-2.720348424,
35797679,-2.726083932,
36397639,-2.731236209,
36997599,-2.736331684,
37597559,-2.73975281,
38197519,-2.743824303,
38797479,-2.747610809,
39397439,-2.750735942,
39997399,-2.755555673,
40597359,-2.76125412,
41197319,-2.766578774,
41797279,-2.771775988,
42397239,-2.779337566,
42997199,-2.784046054,
43597159,-2.7903183,
44197119,-2.7963735,
44797079,-2.801942871,
45397039,-2.8085937,
45996999,-2.815475373,
46596959,-2.820156158,
47196919,-2.826311487,
47796879,-2.832218238,
48396839,-2.837408473,
48996799,-2.84182677,
49596759,-2.846634816,
50196719,-2.851046353,
50796679,-2.854879207,
51396639,-2.859344658,
51996599,-2.864035954,
52596559,-2.867785673,
53196519,-2.871388473,
53796479,-2.874803265,
54396439,-2.87821079,
54996399,-2.880391542,
55596359,-2.882838336,
56196319,-2.883483458,
56796279,-2.88466513,
57396239,-2.887329484,
57996199,-2.88864711,
58596159,-2.890186654,
59196119,-2.89209249,
59796079,-2.896625908,
60396039,-2.904228649,
60995999,-2.916487122,
61595959,-2.9302104,
62195919,-2.937642644,
62795879,-2.933808714,
63395839,-2.92833967,
63995799,-2.925338872,
64595759,-2.922855207,
65195719,-2.924494236,
65795679,-2.926429572,
66395639,-2.927071249,
66995599,-2.929264393,
67595559,-2.930412631,
68195519,-2.931617486,
68795479,-2.934038138,
69395439,-2.933422032,
69995399,-2.935105061,
70595359,-2.935069844,
71195319,-2.936150485,
71795279,-2.936255705,
72395239,-2.93496167,
72995199,-2.937062369,
73595159,-2.93433353,
74195119,-2.934746426,
74795079,-2.933329783,
75395039,-2.933479761,
75994999,-2.931076656,
76594959,-2.930999528,
77194919,-2.92957226,
77794879,-2.928126669,
78394839,-2.925544305,
78994799,-2.924457058,
79594759,-2.922394027,
80194719,-2.921030265,
80794679,-2.918364158,
81394639,-2.917011471,
81994599,-2.914620754,
82594559,-2.912266023,
83194519,-2.910460593,
83794479,-2.90764005,
84394439,-2.904496926,
84994399,-2.902006196,
85594359,-2.899818493,
86194319,-2.898282894,
86794279,-2.895413911,
87394239,-2.892147495,
87994199,-2.88794449,
88594159,-2.884724438,
89194119,-2.881055534,
89794079,-2.878908778,
90394039,-2.874611825,
90993999,-2.871254842,
91593959,-2.867366846,
92193919,-2.864391527,
92793879,-2.860061311,
93393839,-2.857966394,
93993799,-2.853737617,
94593759,-2.849679976,
95193719,-2.847027615,
95793679,-2.843803429,
96393639,-2.840113481,
96993599,-2.836077012,
97593559,-2.833147234,
98193519,-2.82859904,
98793479,-2.824860791,
99393439,-2.821136608,
99993399,-2.817598431,
100593359,-2.815007412,
101193319,-2.810089694,
101793279,-2.807051365,
102393239,-2.802729561,
102993199,-2.798859179,
103593159,-2.796312568,
104193119,-2.792238341,
104793079,-2.788527337,
105393039,-2.785033913,
105992999,-2.781148514,
106592959,-2.779014821,
107192919,-2.774359367,
107792879,-2.772060432,
108392839,-2.768513435,
108992799,-2.765354181,
109592759,-2.761125398,
110192719,-2.757608247,
110792679,-2.754370378,
111392639,-2.750961621,
111992599,-2.748587375,
112592559,-2.744894039,
113192519,-2.741138589,
113792479,-2.738738879,
114392439,-2.735602282,
114992399,-2.732933681,
115592359,-2.729820773,
116192319,-2.727547452,
116792279,-2.724170878,
117392239,-2.721707626,
117992199,-2.720796918,
118592159,-2.717320226,
119192119,-2.714709574,
119792079,-2.711954273,
120392039,-2.709778276,
120991999,-2.707984703,
121591959,-2.705549824,
122191919,-2.704309258,
122791879,-2.703416533,
123391839,-2.701725007,
123991799,-2.699989718,
124591759,-2.698489608,
125191719,-2.696114897,
125791679,-2.693674287,
126391639,-2.691395822,
126991599,-2.690394421,
127591559,-2.688240819,
128191519,-2.687335191,
128791479,-2.685912898,
129391439,-2.68444132,
129991399,-2.683402847,
130591359,-2.682174201,
131191319,-2.683012352,
131791279,-2.681063075,
132391239,-2.680294219,
132991199,-2.678318323,
133591159,-2.677611716,
134191119,-2.677628435,
134791079,-2.676980112,
135391039,-2.676013455,
135990999,-2.675827662,
136590959,-2.674662086,
137190919,-2.675806008,
137790879,-2.674116637,
138390839,-2.674173008,
138990799,-2.673736229,
139590759,-2.673287474,
140190719,-2.672716839,
140790679,-2.673055011,
141390639,-2.672133148,
141990599,-2.671963037,
142590559,-2.672509652,
143190519,-2.672102912,
143790479,-2.672284659,
144390438,-2.671527326,
144990398,-2.672106279,
145590358,-2.673010837,
146190318,-2.673294798,
146790278,-2.672493478,
147390238,-2.672551307,
147990198,-2.672861761,
148590158,-2.674138123,
149190118,-2.674022217,
149790078,-2.673674474,
150390038,-2.674182126,
150989998,-2.675100215,
151589958,-2.67502291,
152189918,-2.675412606,
152789878,-2.676038057,
153389838,-2.67681035,
153989798,-2.676757761,
154589758,-2.677781131,
155189718,-2.679155079,
155789678,-2.678819296,
156389638,-2.679899981,
156989598,-2.681797389,
157589558,-2.682555524,
158189518,-2.684880602,
158789478,-2.684940536,
159389438,-2.686385557,
159989398,-2.687639681,
160589358,-2.688480956,
161189318,-2.69023439,
161789278,-2.692712073,
162389238,-2.694288622,
162989198,-2.69411025,
163589158,-2.695997204,
164189118,-2.6978259,
164789078,-2.699538209,
165389038,-2.701053523,
165988998,-2.702980027,
166588958,-2.704115396,
167188918,-2.705786925,
167788878,-2.707337198,
168388838,-2.709574145,
168988798,-2.709697547,
169588758,-2.711841145,
170188718,-2.712682766,
170788678,-2.715368416,
171388638,-2.716493046,
171988598,-2.718075306,
172588558,-2.720548688,
173188518,-2.72027168,
173788478,-2.721855785,
174388438,-2.723057458,
174988398,-2.724570282,
175588358,-2.725137688,
176188318,-2.727652572,
176788278,-2.729654028,
177388238,-2.730921497,
177988198,-2.7313605,
178588158,-2.731722499,
179188118,-2.732729981,
179788078,-2.734023034,
180388038,-2.735236833,
180987998,-2.73534717,
181587958,-2.736528373,
182187918,-2.73802304,
182787878,-2.739356923,
183387838,-2.739628869,
183987798,-2.73921694,
184587758,-2.740431742,
185187718,-2.741278035,
185787678,-2.742168392,
186387638,-2.743567695,
186987598,-2.742671557,
187587558,-2.743927566,
188187518,-2.744354646,
188787478,-2.744796568,
189387438,-2.746255765,
189987398,-2.746565809,
