Frequency,S12_Magnitude,
1000000,-3.388129403,
1599959,-3.258541508,
2199919,-3.228706463,
2799879,-3.085702957,
3399839,-2.943787932,
3999799,-3.006708074,
4599759,-2.868570575,
5199719,-3.081912483,
5799679,-2.994611787,
6399639,-3.154222762,
6999599,-3.209392996,
7599559,-3.34399316,
8199519,-3.442333318,
8799479,-3.549526983,
9399439,-3.70881334,
9999399,-3.913109438,
10599359,-4.033432361,
11199319,-4.198279779,
11799279,-4.374205757,
12399239,-4.555874337,
12999199,-4.709175627,
13599159,-4.9155214,
14199119,-5.018119888,
14799079,-5.395446888,
15399039,-5.426987638,
15998999,-5.700832784,
16598959,-5.841182774,
17198919,-6.084148284,
17798879,-6.419988655,
18398839,-6.507575491,
18998799,-6.697308353,
19598759,-7.037198037,
20198719,-7.195023878,
20798679,-7.523387139,
21398639,-7.795931125,
21998599,-7.9299936,
22598559,-8.212345686,
23198519,-8.340573838,
23798479,-8.576422535,
24398439,-8.945738505,
24998399,-9.305078012,
25598359,-9.386108588,
26198319,-9.733997972,
26798279,-10.0881133,
27398239,-10.380335,
27998199,-10.66211964,
28598159,-11.03462447,
29198119,-11.04742662,
29798079,-11.7325092,
30398039,-12.25281911,
30997999,-12.47162135,
31597959,-12.83257335,
32197919,-12.89327537,
32797879,-12.97789169,
33397839,-13.30038869,
33997799,-13.87128971,
34597759,-14.35148612,
35197719,-14.47656966,
35797679,-15.06859066,
36397639,-15.57879889,
36997599,-15.9518622,
37597559,-16.75534912,
38197519,-17.18734663,
38797479,-17.77214625,
39397439,-18.39744521,
39997399,-18.94919782,
40597359,-19.67173888,
41197319,-20.8005034,
41797279,-22.32625407,
42397239,-22.84547932,
42997199,-23.64674313,
43597159,-24.92202576,
44197119,-26.29584035,
44797079,-27.65824585,
45397039,-35.17129774,
45996999,-36.2796695,
46596959,-39.28878282,
47196919,-45.37188521,
47796879,-39.33980734,
48396839,-37.9028212,
48996799,-32.485243,
49596759,-28.24655048,
50196719,-26.03306099,
50796679,-24.99839518,
51396639,-23.83270765,
51996599,-22.68090109,
52596559,-22.0354312,
53196519,-20.37782206,
53796479,-19.84968371,
54396439,-18.84866854,
54996399,-18.40030808,
55596359,-17.77418738,
56196319,-17.59497498,
56796279,-16.90461728,
57396239,-15.96164636,
57996199,-15.37287644,
58596159,-15.00364387,
59196119,-14.7689249,
59796079,-14.30493812,
60396039,-13.96959669,
60995999,-13.65120494,
61595959,-13.18537011,
62195919,-12.90308989,
62795879,-12.57226397,
63395839,-12.23094296,
63995799,-11.91715835,
64595759,-11.66462131,
65195719,-11.36694541,
65795679,-11.0814239,
66395639,-10.81528468,
66995599,-10.60542176,
67595559,-10.31805622,
68195519,-10.10526448,
68795479,-9.942036297,
69395439,-9.627549507,
69995399,-9.483973196,
70595359,-9.248120891,
71195319,-9.078355008,
71795279,-8.957873195,
72395239,-8.795931113,
72995199,-8.60882167,
73595159,-8.445993216,
74195119,-8.441558506,
74795079,-8.050655112,
75395039,-7.895549046,
75994999,-7.780763939,
76594959,-7.723752057,
77194919,-7.557462137,
77794879,-7.308208537,
78394839,-7.17505245,
78994799,-7.137971166,
79594759,-7.142805613,
80194719,-6.968792593,
80794679,-6.880963829,
81394639,-6.633319074,
81994599,-6.60758075,
82594559,-6.431775553,
83194519,-6.434774405,
83794479,-6.376407206,
84394439,-6.193496049,
84994399,-6.080935489,
85594359,-6.005555159,
86194319,-6.048304627,
86794279,-5.827680863,
87394239,-5.765626261,
87994199,-5.712321556,
88594159,-5.616627253,
89194119,-5.647608358,
89794079,-5.635695753,
90394039,-5.509197104,
90993999,-5.490781623,
91593959,-5.40778468,
92193919,-5.323451349,
92793879,-5.277640538,
93393839,-5.196760517,
93993799,-5.162110888,
94593759,-5.149149396,
95193719,-5.073409445,
95793679,-5.009421422,
96393639,-4.946434864,
96993599,-4.958351337,
97593559,-4.940528761,
98193519,-4.931383995,
98793479,-4.874678811,
99393439,-4.814797495,
99993399,-4.796171603,
100593359,-4.771237221,
101193319,-4.674335693,
101793279,-4.659688061,
102393239,-4.689741834,
102993199,-4.686742455,
103593159,-4.620691565,
104193119,-4.592273594,
104793079,-4.517031474,
105393039,-4.545340628,
105992999,-4.539775515,
106592959,-4.547598329,
107192919,-4.512678286,
107792879,-4.36433092,
108392839,-4.420052101,
108992799,-4.407473425,
109592759,-4.372153333,
110192719,-4.410205045,
110792679,-4.396523103,
111392639,-4.398772869,
111992599,-4.363576194,
112592559,-4.350716469,
113192519,-4.339551627,
113792479,-4.31597978,
114392439,-4.296134213,
114992399,-4.193691298,
115592359,-4.246161316,
116192319,-4.297094814,
116792279,-4.312306273,
117392239,-4.274042637,
117992199,-4.252884886,
118592159,-4.297732419,
119192119,-4.269160523,
119792079,-4.263247882,
120392039,-4.219803053,
120991999,-4.197882002,
121591959,-4.197428191,
122191919,-4.1916209,
122791879,-4.175251412,
123391839,-4.157684959,
123991799,-4.138854095,
124591759,-4.174673043,
125191719,-4.1915863,
125791679,-4.155897594,
126391639,-4.166204284,
126991599,-4.246223305,
127591559,-4.27296399,
128191519,-4.176154453,
128791479,-4.158027,
129391439,-4.208902611,
129991399,-4.116987247,
130591359,-4.231100714,
131191319,-4.095315267,
131791279,-4.208490146,
132391239,-4.180358053,
132991199,-4.203219863,
133591159,-4.278951123,
134191119,-4.260226548,
134791079,-4.160441377,
135391039,-4.242930304,
135990999,-4.08143033,
136590959,-4.236197398,
137190919,-4.202318052,
137790879,-4.133736427,
138390839,-4.160828074,
138990799,-4.119916403,
139590759,-4.06617641,
140190719,-4.1245013,
140790679,-4.103379564,
141390639,-4.249375633,
141990599,-4.206416055,
142590559,-4.131725809,
143190519,-4.18034681,
143790479,-4.117661024,
144390438,-4.138862293,
144990398,-4.148662141,
145590358,-4.105556395,
146190318,-4.154808343,
146790278,-4.103033713,
147390238,-4.036731212,
147990198,-4.123396869,
148590158,-4.067998917,
149190118,-4.137617652,
149790078,-4.018560209,
150390038,-4.032088393,
150989998,-4.043458576,
151589958,-4.057506626,
152189918,-4.210037723,
152789878,-4.143687242,
153389838,-4.071466325,
153989798,-4.077711638,
