Frequency,S12_Magnitude,
1000000,-3.515426508,
1599959,-3.287599541,
2199919,-3.113373045,
2799879,-2.937999756,
3399839,-2.78136604,
3999799,-2.677786208,
4599759,-2.567258422,
5199719,-2.506497829,
5799679,-2.477112853,
6399639,-2.446197962,
6999599,-2.4492989,
7599559,-2.416844446,
8199519,-2.419586585,
8799479,-2.439614041,
9399439,-2.431005772,
9999399,-2.441662026,
10599359,-2.467632872,
11199319,-2.46762924,
11799279,-2.492835222,
12399239,-2.510491158,
12999199,-2.513768538,
13599159,-2.517206862,
14199119,-2.560394346,
14799079,-2.528193318,
15399039,-2.541512552,
15998999,-2.594959785,
16598959,-2.628992531,
17198919,-2.598783726,
17798879,-2.658125537,
18398839,-2.654765898,
18998799,-2.685663375,
19598759,-2.689062098,
20198719,-2.691823999,
20798679,-2.706733485,
21398639,-2.705926909,
21998599,-2.719012652,
22598559,-2.719785496,
23198519,-2.752430599,
23798479,-2.756389663,
24398439,-2.757996954,
24998399,-2.760031847,
25598359,-2.768733296,
26198319,-2.778222245,
26798279,-2.786417915,
27398239,-2.821040342,
27998199,-2.829292883,
28598159,-2.833439809,
29198119,-2.845476693,
29798079,-2.853973999,
30398039,-2.873543426,
30997999,-2.89017413,
31597959,-2.874330148,
32197919,-2.898783758,
32797879,-2.881645066,
33397839,-2.917659086,
33997799,-2.926073546,
34597759,-2.93391748,
35197719,-2.940377354,
35797679,-2.9311382,
36397639,-2.951694268,
36997599,-2.939408343,
37597559,-2.960769991,
38197519,-2.971282906,
38797479,-2.980812027,
39397439,-2.971003204,
39997399,-2.979531187,
40597359,-3.00389829,
41197319,-2.986231367,
41797279,-3.003999618,
42397239,-2.997997051,
42997199,-3.003875365,
43597159,-2.992562636,
44197119,-3.015906721,
44797079,-3.038862848,
45397039,-3.028857336,
45996999,-3.034960586,
46596959,-3.040750589,
47196919,-3.046471777,
47796879,-3.052786796,
48396839,-3.057961234,
48996799,-3.068751396,
49596759,-3.073196368,
50196719,-3.081241389,
50796679,-3.060672633,
51396639,-3.080980536,
51996599,-3.096463386,
52596559,-3.093957768,
53196519,-3.091409743,
53796479,-3.098824739,
54396439,-3.118552878,
54996399,-3.093301704,
55596359,-3.101255185,
56196319,-3.103202545,
56796279,-3.103598165,
57396239,-3.116226358,
57996199,-3.1062973,
58596159,-3.103428091,
59196119,-3.128490138,
59796079,-3.114307473,
60396039,-3.131235353,
60995999,-3.134801306,
61595959,-3.161044806,
62195919,-3.143319177,
62795879,-3.138777835,
63395839,-3.141801061,
63995799,-3.146597591,
64595759,-3.131027886,
65195719,-3.130938318,
65795679,-3.138885355,
66395639,-3.141045015,
66995599,-3.154775638,
67595559,-3.143723352,
68195519,-3.133821251,
68795479,-3.121867166,
69395439,-3.145693126,
69995399,-3.146850043,
70595359,-3.146621903,
71195319,-3.146530209,
71795279,-3.146536659,
72395239,-3.145620338,
72995199,-3.145897557,
73595159,-3.144402094,
74195119,-3.144041461,
74795079,-3.146165836,
75395039,-3.14078289,
75994999,-3.135782011,
76594959,-3.138487618,
77194919,-3.136637282,
77794879,-3.122998208,
78394839,-3.142948915,
78994799,-3.144878907,
79594759,-3.129111414,
80194719,-3.126605413,
80794679,-3.125237765,
81394639,-3.116502026,
81994599,-3.122051421,
82594559,-3.104422343,
83194519,-3.120390867,
83794479,-3.140606125,
84394439,-3.09915175,
84994399,-3.086325251,
85594359,-3.10341052,
86194319,-3.099702259,
86794279,-3.09599445,
87394239,-3.077996984,
87994199,-3.106693578,
88594159,-3.085724414,
89194119,-3.093896462,
89794079,-3.078092212,
90394039,-3.081178961,
90993999,-3.087933601,
91593959,-3.050122272,
92193919,-3.069842877,
92793879,-3.066531988,
93393839,-3.042679285,
93993799,-3.062841136,
94593759,-3.058762725,
95193719,-3.053548787,
95793679,-3.0401616,
96393639,-3.042572423,
96993599,-3.031776626,
97593559,-3.007955106,
98193519,-3.02897792,
98793479,-3.019797575,
99393439,-3.015614723,
99993399,-3.005686872,
100593359,-2.989819192,
101193319,-2.992160534,
101793279,-3.001427362,
102393239,-3.013307829,
102993199,-2.991562829,
103593159,-2.97044867,
104193119,-2.98379032,
104793079,-2.980683937,
105393039,-2.984634995,
105992999,-2.971776085,
106592959,-2.968385546,
107192919,-2.963618877,
107792879,-2.963889469,
108392839,-2.957153986,
108992799,-2.953362551,
109592759,-2.949623243,
110192719,-2.947083104,
110792679,-2.932193235,
111392639,-2.939013955,
111992599,-2.945745594,
112592559,-2.938543539,
113192519,-2.940676691,
113792479,-2.965113281,
114392439,-2.904448367,
114992399,-2.919628564,
115592359,-2.928182281,
116192319,-2.913560426,
116792279,-2.923388195,
117392239,-2.907143597,
117992199,-2.915347735,
118592159,-2.918160526,
119192119,-2.899302743,
119792079,-2.896800033,
120392039,-2.885005374,
120991999,-2.891465938,
121591959,-2.889504068,
122191919,-2.887172009,
122791879,-2.874601681,
123391839,-2.890191526,
123991799,-2.899147243,
124591759,-2.883480969,
125191719,-2.882858773,
125791679,-2.881555287,
126391639,-2.88186182,
126991599,-2.86857187,
127591559,-2.867154923,
128191519,-2.869492876,
128791479,-2.86831575,
129391439,-2.85712432,
129991399,-2.861858693,
130591359,-2.850926119,
131191319,-2.87374033,
131791279,-2.84373153,
132391239,-2.850648683,
132991199,-2.860444236,
133591159,-2.859152914,
134191119,-2.841070179,
134791079,-2.857177301,
135391039,-2.862587186,
135990999,-2.855894735,
136590959,-2.855739301,
137190919,-2.823779506,
137790879,-2.837934598,
138390839,-2.886443018,
138990799,-2.846261314,
139590759,-2.862935512,
140190719,-2.841238038,
140790679,-2.858025971,
141390639,-2.851986199,
141990599,-2.851976197,
142590559,-2.852047028,
143190519,-2.836589908,
143790479,-2.845067403,
144390438,-2.833795765,
144990398,-2.880011403,
145590358,-2.866137332,
146190318,-2.832678301,
146790278,-2.859909462,
147390238,-2.858928181,
147990198,-2.853147209,
148590158,-2.853646063,
149190118,-2.842024161,
149790078,-2.858879661,
150390038,-2.85413095,
150989998,-2.855105902,
151589958,-2.854440051,
152189918,-2.855851021,
152789878,-2.843256846,
153389838,-2.855880853,
153989798,-2.857392323,
154589758,-2.858593717,
155189718,-2.859850985,
155789678,-2.86668452,
156389638,-2.862244013,
156989598,-2.877380407,
157589558,-2.856084353,
158189518,-2.888166183,
158789478,-2.882770555,
159389438,-2.886007242,
159989398,-2.854592861,
160589358,-2.872320837,
161189318,-2.873979924,
161789278,-2.876804899,
162389238,-2.855381418,
162989198,-2.881885648,
163589158,-2.88245301,
164189118,-2.898981528,
164789078,-2.894181731,
165389038,-2.888666058,
165988998,-2.889839504,
166588958,-2.881556533,
167188918,-2.883626517,
167788878,-2.907456213,
168388838,-2.898337004,
168988798,-2.891045415,
169588758,-2.923698152,
170188718,-2.903347901,
170788678,-2.900073339,
171388638,-2.907250089,
171988598,-2.91765166,
172588558,-2.922200771,
173188518,-2.936065558,
173788478,-2.895388461,
174388438,-2.91654126,
174988398,-2.918074309,
175588358,-2.920125877,
176188318,-2.921105266,
176788278,-2.923141645,
177388238,-2.929220862,
177988198,-2.926007813,
178588158,-2.908274765,
179188118,-2.928598402,
179788078,-2.930366311,
180388038,-2.930341618,
180987998,-2.919577811,
181587958,-2.87564423,
182187918,-2.93494095,
182787878,-2.903551928,
183387838,-2.937641606,
183987798,-2.929893709,
184587758,-2.952936489,
185187718,-2.940510688,
185787678,-2.928002827,
186387638,-2.950266829,
