Frequency,S12_Magnitude,
1000000,-3.34002077,
1599959,-3.27309963,
2199919,-3.304102753,
2799879,-3.090002078,
3399839,-3.016067807,
3999799,-3.06130259,
4599759,-3.002981049,
5199719,-2.916834959,
5799679,-3.102092912,
6399639,-3.146935011,
6999599,-3.290141964,
7599559,-3.406989312,
8199519,-3.540227436,
8799479,-3.636212247,
9399439,-3.854309527,
9999399,-3.940371157,
10599359,-4.22214137,
11199319,-4.338554471,
11799279,-4.390790283,
12399239,-4.571514906,
12999199,-4.79989659,
13599159,-5.065985051,
14199119,-5.112920007,
14799079,-5.379177669,
15399039,-5.541610953,
15998999,-5.814292847,
16598959,-5.999415092,
17198919,-6.158372594,
17798879,-6.555636569,
18398839,-6.618074723,
18998799,-6.838555608,
19598759,-6.990101552,
20198719,-7.302113631,
20798679,-7.606922108,
21398639,-7.833811445,
21998599,-8.066234418,
22598559,-8.244887785,
23198519,-8.394009119,
23798479,-8.789258902,
24398439,-9.116538045,
24998399,-9.510194635,
25598359,-9.528457991,
26198319,-9.914074225,
26798279,-10.17676393,
27398239,-10.46677681,
27998199,-10.7575194,
28598159,-10.99490404,
29198119,-11.41829335,
29798079,-11.88763718,
30398039,-12.07430347,
30997999,-12.44517821,
31597959,-12.90407736,
32197919,-13.0653038,
32797879,-13.57812899,
33397839,-14.22397618,
33997799,-14.36547156,
34597759,-14.77815484,
35197719,-15.25305454,
35797679,-15.82222858,
36397639,-16.27939374,
36997599,-17.04998352,
37597559,-17.53372657,
38197519,-18.16682904,
38797479,-18.91503846,
39397439,-19.60115528,
39997399,-20.18285065,
40597359,-21.94034759,
41197319,-22.83567603,
41797279,-23.75042659,
42397239,-24.72395647,
42997199,-25.6002421,
43597159,-28.08371177,
44197119,-35.52609982,
44797079,-37.32620025,
45397039,-39.31688842,
45996999,-42.46357536,
46596959,-38.12873602,
47196919,-40.44672569,
47796879,-30.25312857,
48396839,-27.83997645,
48996799,-24.97044537,
49596759,-24.48102254,
50196719,-23.17078642,
50796679,-22.30032045,
51396639,-22.60473123,
51996599,-19.89050375,
52596559,-19.36842164,
53196519,-18.9829579,
